#Chromosome/scaffold name	Gene Start (bp)	Gene End (bp)	HGNC symbol	Gene ID
13	26027137	26027428	RN7SL289P	ENSG00000265546
13	99677488	99677599	RNU6-83P	ENSG00000207298
13	26091257	26091363	RNU6-78P	ENSG00000199767
13	99740073	99740879	DOCK9-AS2	ENSG00000260992
13	99825847	99826744	RPS6P23	ENSG00000230871
13	26518632	26518891	RN7SL741P	ENSG00000242381
HG185_PATCH	39868578	39872221	GAST	ENSG00000260334
13	26524842	26524959	RNY1P3	ENSG00000223158
13	26626414	26627523	LINC00415	ENSG00000231983
13	99842833	99843245	GAPDHP22	ENSG00000234005
13	99848631	99852964	UBAC2-AS1	ENSG00000228889
13	26688547	26728313	ATP8A2P3	ENSG00000233963
13	99857962	99858260	RN7SKP9	ENSG00000201793
13	99867626	99868012	H2AFZP3	ENSG00000218502
13	100008385	100008482	MIR623	ENSG00000207719
13	26691686	26693102	PRUNEP1	ENSG00000234706
13	100024427	100024940	HMGB3P4	ENSG00000228808
13	100060035	100061316	CCR12P	ENSG00000238241
13	26808350	26811266	PRKRIRP6	ENSG00000227882
13	100151981	100153306	LINC00449	ENSG00000203441
13	27151023	27151812	RPS3AP44	ENSG00000234031
13	100188573	100188650	RNY3P6	ENSG00000212197
13	100229366	100232622	LINC01039	ENSG00000234168
13	27180681	27215501	WASF3-AS1	ENSG00000237001
13	100234960	100235434	CFL1P8	ENSG00000234239
13	27479499	27479998	FGFR1OP2P1	ENSG00000230256
13	27551680	27551926	RPS21P8	ENSG00000223782
13	100295313	100295403	MIR4306	ENSG00000263615
13	27591688	27592046	RPS20P32	ENSG00000218198
13	100342335	100343225	CLYBL-AS2	ENSG00000227659
13	27736992	27743272	USP12-AS1	ENSG00000232162
13	100378501	100379745	CLYBL-AS1	ENSG00000234303
13	27746396	27757135	USP12-AS2	ENSG00000230641
13	27810419	27810948	LINC00412	ENSG00000234772
13	27829201	27829272	SNORD102	ENSG00000207500
13	100647153	100650163	LINC00554	ENSG00000260738
13	27829538	27829663	SNORA27	ENSG00000207051
13	100680023	100680428	NDUFA12P1	ENSG00000225999
13	27917785	27917883	RNU6-70P	ENSG00000252247
13	27947485	27948503	LINC01079	ENSG00000229609
13	100714550	100715855	ASNSP3	ENSG00000236554
13	27976613	27976724	RNY1P1	ENSG00000201242
13	28062275	28062369	RNU6-63P	ENSG00000252499
13	100802735	100803346	RPL15P18	ENSG00000228501
13	28270530	28271341	NPM1P4	ENSG00000226703
HG185_PATCH	39873994	39890896	HAP1	ENSG00000261125
13	28402900	28403006	RNU6-73P	ENSG00000207330
13	101116694	101133411	PCCA-AS1	ENSG00000234650
13	28407581	28495541	PDX1-AS1	ENSG00000247381
13	28527663	28529507	LINC00543	ENSG00000260704
13	28563435	28563721	RN7SL272P	ENSG00000242360
13	28641724	28642471	KATNBL1P1	ENSG00000271026
13	28681568	28682014	CHCHD2P8	ENSG00000235115
13	101192089	101192528	RPS26P47	ENSG00000234354
13	28710980	28712330	PAN3-AS1	ENSG00000261485
13	101276129	101276683	COX5BP6	ENSG00000237082
13	28788650	28790034	EEF1A1P3	ENSG00000232587
13	28806638	28806744	RNU6-82P	ENSG00000200840
13	101360579	101711638	NALCN-AS1	ENSG00000233009
13	29172970	29174189	EIF4A1P7	ENSG00000235472
13	29277839	29277944	RNU6-53P	ENSG00000202237
13	101408805	101409313	ARF4P3	ENSG00000214051
13	29296523	29298158	CYP51A1P2	ENSG00000233588
13	101593116	101596618	LINC00411	ENSG00000229599
13	29352695	29353074	POM121L13P	ENSG00000236339
13	102431234	102431398	RNU1-24P	ENSG00000201155
13	29813516	29824691	MTUS2-AS2	ENSG00000236758
13	102454228	102454838	HMGB3P7	ENSG00000215399
13	102619992	102620096	MIR2681	ENSG00000265164
13	29880915	29881922	GAPDHP69	ENSG00000223460
13	102654475	102655660	LIPT1P1	ENSG00000229975
13	102669303	102669419	RNY1P2	ENSG00000201690
13	30050652	30064242	MTUS2-AS1	ENSG00000179141
13	102698284	102698354	MIR4705	ENSG00000264482
13	102915396	102915552	RPL39P29	ENSG00000236860
13	30440096	30440306	TIMM8BP1	ENSG00000236258
13	30446750	30462542	LINC00297	ENSG00000224329
13	102944677	103046869	FGF14-IT1	ENSG00000243319
13	30492784	30500788	LINC00572	ENSG00000224405
13	103019889	103026016	FGF14-AS1	ENSG00000234445
13	30510042	30524625	LINC00544	ENSG00000122043
13	103046980	103048053	FGF14-AS2	ENSG00000272143
13	103241722	103242163	LINC00555	ENSG00000261057
13	30677315	30683012	LINC00365	ENSG00000224511
13	30726023	30733758	LINC00384	ENSG00000232117
13	103395340	103397574	LINC00283	ENSG00000231633
13	30728203	30728723	LINC00385	ENSG00000232643
13	103472343	103472419	RNY5P8	ENSG00000222301
13	30855902	30856006	RNU6-64P	ENSG00000252928
13	103532449	103548383	METTL21EP	ENSG00000250878
13	30870284	30870872	PRDX2P1	ENSG00000215049
13	30890497	30894040	LINC00427	ENSG00000236463
13	104096970	104097318	ATP6V1G1P7	ENSG00000230474
13	105466678	105467420	RPL7P45	ENSG00000225823
13	106111404	106158030	DAOA-AS1	ENSG00000232307
13	30914407	30951282	LINC00426	ENSG00000238121
13	106356629	106416789	LINC00343	ENSG00000226620
13	30993656	30996374	LINC01058	ENSG00000225039
HG185_PATCH	39910856	39943183	JUP	ENSG00000261577
13	31002084	31002656	UBE2L5P	ENSG00000236444
13	106807721	106807839	RNA5SP38	ENSG00000222682
13	31113734	31117598	RBM22P2	ENSG00000213411
13	107028911	107030565	LINC00460	ENSG00000233532
13	31115780	31117034	MFAP1P1	ENSG00000232489
13	107078121	107078470	RPL35P9	ENSG00000174418
13	31127807	31128830	PTPN2P2	ENSG00000224117
13	107270158	107283707	LINC00551	ENSG00000272274
13	107306264	107324511	LINC00443	ENSG00000230156
13	31377343	31384782	LINC00398	ENSG00000237879
13	107315785	107316195	ATP5G1P5	ENSG00000227590
13	107516164	107516634	PPIAP24	ENSG00000174408
13	31456070	31507983	TEX26-AS1	ENSG00000224743
13	108183519	108183596	MIR1267	ENSG00000221650
13	108440690	108487799	FAM155A-IT1	ENSG00000227248
13	108953560	108953679	RNA5SP39	ENSG00000223177
13	109132574	109134165	HCFC2P1	ENSG00000232087
13	109753609	109754267	MYO16-AS2	ENSG00000229938
13	31456688	31457532	LINC00545	ENSG00000236094
13	109816250	109853831	MYO16-AS1	ENSG00000236242
13	109934321	109940081	LINC00370	ENSG00000223617
13	31569299	31570275	LINC01066	ENSG00000230403
13	109962483	109964121	LINC01067	ENSG00000236053
21	20058408	20058482	MIR548X	ENSG00000265841
13	31651391	31689836	WDR95P	ENSG00000231894
13	110053043	110053988	LINC00399	ENSG00000229792
13	110380629	110382354	LINC00676	ENSG00000234854
21	20230097	20230594	PPIAP22	ENSG00000198618
13	31885426	31887058	ANKRD26P4	ENSG00000229427
13	110567443	110567767	RN7SKP10	ENSG00000201161
13	110705632	110707299	LINC00396	ENSG00000231428
13	32420978	32527609	EEF1DP3	ENSG00000229715
13	110750200	110750498	RN7SL783P	ENSG00000265885
13	111108743	111115634	COL4A2-AS2	ENSG00000224821
13	32559822	32565134	LINC01073	ENSG00000235822
13	32599451	32605776	FRY-AS1	ENSG00000237637
13	111154922	111160526	COL4A2-AS1	ENSG00000232814
21	20616860	20618709	SLC6A6P1	ENSG00000226818
13	32958797	32960245	IFIT1P1	ENSG00000215515
13	111415021	111415480	RPL21P107	ENSG00000225239
21	20717465	20717629	RNU1-139P	ENSG00000212609
13	111462023	111465431	LINC00567	ENSG00000259831
21	20966155	20966422	RPL37P4	ENSG00000230198
13	111547406	111551519	ANKRD10-IT1	ENSG00000229152
13	33051411	33052978	ATP8A2P2	ENSG00000229800
13	111589106	111592131	PARP1P1	ENSG00000227105
21	21131673	21132442	C1QBPP	ENSG00000215353
13	111635654	111642911	LINC00431	ENSG00000225760
13	111748185	111755444	LINC00368	ENSG00000225870
21	21728060	21728164	RNU6-772P	ENSG00000251851
21	21728965	21729208	RN7SKP147	ENSG00000252963
13	111766159	111768025	ARHGEF7-AS2	ENSG00000235875
13	33337576	33337690	RNY1P4	ENSG00000207325
21	21760646	21761157	FDPSP6	ENSG00000233676
13	33451569	33485788	LINC00423	ENSG00000226968
13	111774999	111796611	ARHGEF7-IT1	ENSG00000233644
21	21797261	21798518	KRT18P2	ENSG00000234439
13	111796652	111797080	ARHGEF7-AS1	ENSG00000227352
13	33528195	33528539	TOMM22P3	ENSG00000227604
21	21802755	21803074	RPS3AP1	ENSG00000233206
13	33732724	33738546	STARD13-IT1	ENSG00000230300
HG185_PATCH	39968962	39979465	FKBP10	ENSG00000261258
13	112554299	112555490	LINC00354	ENSG00000226903
21	22114908	22175534	LINC00320	ENSG00000224924
13	112760409	112761196	LINC00404	ENSG00000229520
21	22200445	22200940	PPIAP1	ENSG00000215351
13	112761433	112762329	LINC00403	ENSG00000224243
13	112851664	112855314	LINC01070	ENSG00000260102
13	112967781	112976072	LINC01043	ENSG00000260343
13	112976881	112985539	LINC01044	ENSG00000223626
13	113399763	113409007	ATP11A-AS1	ENSG00000232684
21	23095613	23109639	LINC00317	ENSG00000238265
13	33845516	33855471	STARD13-AS	ENSG00000236581
15	20169919	20170354	IGHV1OR15-9	ENSG00000188403
13	113621798	113623138	MCF2L-AS1	ENSG00000235280
13	113782469	113783194	F10-AS1	ENSG00000231882
13	113784730	113786368	KARSP2	ENSG00000230371
15	20192909	20193370	IGHV3OR15-7	ENSG00000259490
13	113930931	113932049	LDHBP1	ENSG00000232662
15	20209093	20209115	IGHD5OR15-5A	ENSG00000270961
13	114005988	114016183	GRTP1-AS1	ENSG00000225083
13	114123216	114130450	DCUN1D2-AS	ENSG00000233613
15	20210050	20210068	IGHD4OR15-4A	ENSG00000271317
13	114133230	114133393	RNU1-16P	ENSG00000202347
13	114451484	114454062	LINC00552	ENSG00000227208
15	20211158	20211188	IGHD3OR15-3A	ENSG00000270783
13	114518603	114542321	GAS6-AS1	ENSG00000233695
15	20213655	20213685	IGHD2OR15-2A	ENSG00000271197
13	114567141	114569806	GAS6-AS2	ENSG00000272695
21	23470936	23488847	LINC00308	ENSG00000184856
15	20216406	20216422	IGHD1OR15-1A	ENSG00000271336
18	21852889	21853170	RN7SL247P	ENSG00000265259
HG185_PATCH	39981433	39992515	NT5C3B	ENSG00000260753
18	21901650	21901699	MIR320C2	ENSG00000212051
13	114581673	114586624	LINC00454	ENSG00000226921
13	34403676	34403786	RNU5A-4P	ENSG00000252397
13	34656566	34657447	VDAC1P12	ENSG00000227254
13	114586640	114626485	LINC00452	ENSG00000229373
15	20737094	20747114	GOLGA6L6	ENSG00000215405
13	35009587	35214822	LINC00457	ENSG00000225179
13	114629487	114631817	LINC00565	ENSG00000260910
21	23577511	23577651	RNU4-45P	ENSG00000202339
13	114873044	114874295	RASA3-IT1	ENSG00000232487
13	35148341	35148803	GAMTP2	ENSG00000231910
13	115009980	115010036	MIR548AR	ENSG00000264539
21	23808610	23810669	MAPK6PS2	ENSG00000223488
13	115039303	115039383	MIR4502	ENSG00000265450
13	35759431	35760816	SCAND3P1	ENSG00000232795
13	115072121	115072541	CLCP2	ENSG00000226158
13	35825207	35825966	PHBP13	ENSG00000234835
13	115095034	115099423	LINC01054	ENSG00000229723
13	36271661	36273393	LINC00445	ENSG00000236036
13	36841305	36841411	RNU6-71P	ENSG00000207203
21	10862622	10863067	IGHV1OR21-1	ENSG00000169861
13	37064215	37064578	HIST1H2APS6	ENSG00000223383
13	37314178	37315000	GAPDHP34	ENSG00000235306
13	37316015	37316602	TCEAL4P1	ENSG00000223543
13	37363469	37369187	ARL2BPP3	ENSG00000215486
HG185_PATCH	39991937	40004636	KLHL10	ENSG00000261631
15	21040701	21071643	POTEB2	ENSG00000230031
13	37378335	37379439	NDE1P2	ENSG00000271337
13	37423503	37424183	SMAD9-AS1	ENSG00000236711
13	37496676	37497045	LAMTOR3P1	ENSG00000228825
13	37500575	37501356	RPL29P28	ENSG00000232378
13	37512537	37513631	EIF4A1P5	ENSG00000226161
13	37740489	37740795	RN7SKP1	ENSG00000202395
13	37794997	37795383	RPS12P24	ENSG00000230283
13	38055604	38058906	LINC01048	ENSG00000230390
21	24052992	24053286	RN7SL609P	ENSG00000263796
13	38428989	38429107	RNA5SP26	ENSG00000199276
13	38567222	38568857	HSPD1P9	ENSG00000228036
HG185_PATCH	40009797	40021683	KLHL11	ENSG00000259896
13	38624954	38717369	LINC00571	ENSG00000223685
21	24462350	24464153	ZNF299P	ENSG00000219368
13	39107480	39119436	LINC00437	ENSG00000236354
21	24473545	24475396	MSANTD2P1	ENSG00000231058
13	39150777	39153131	LINC00366	ENSG00000229437
21	24654058	24654231	RNU2-55P	ENSG00000223078
13	39191556	39192077	PRDX3P3	ENSG00000234701
13	39353561	39353653	RNU6-56P	ENSG00000252795
15	21215823	21215845	IGHD5OR15-5B	ENSG00000270824
13	39395935	39401707	FREM2-AS1	ENSG00000225350
13	39476524	39476787	PLA2G12AP2	ENSG00000225221
15	21216780	21216798	IGHD4OR15-4B	ENSG00000270451
13	39496864	39510336	ANKRD26P2	ENSG00000235550
21	24762579	24763317	EEF1A1P1	ENSG00000223822
15	21217888	21217918	IGHD3OR15-3B	ENSG00000271255
13	39743773	39744088	NXT1P1	ENSG00000214823
15	21220377	21220407	IGHD2OR15-2B	ENSG00000271305
13	40238171	40238272	MIR4305	ENSG00000264171
21	24779978	24781448	TUBAP	ENSG00000237569
13	40359552	40359647	RNY4P14	ENSG00000200526
13	40391878	40392186	CDKN2AIPNLP3	ENSG00000224351
15	49280673	49338760	SECISBP2L	ENSG00000138593
13	40430847	40431231	AZU1P1	ENSG00000270444
15	21223129	21223145	IGHD1OR15-1B	ENSG00000270185
13	40755946	40763165	LINC00332	ENSG00000230710
13	40798762	40798999	RPL17P51	ENSG00000271429
13	40800964	40801069	RNY3P9	ENSG00000207458
13	40981259	40981577	RN7SKP2	ENSG00000252812
13	41025131	41055143	LINC00598	ENSG00000215483
13	41192875	41195485	RLIMP1	ENSG00000229456
13	41301964	41302011	MIR320D1	ENSG00000211491
13	41384902	41384997	MIR621	ENSG00000207652
13	41396432	41495890	TPTE2P5	ENSG00000168852
15	22051853	22083227	POTEB	ENSG00000233917
21	10906201	11029719	TPTE	ENSG00000166157
HG185_PATCH	40023160	40075239	ACLY	ENSG00000260245
13	41437735	41438038	CYCSP34	ENSG00000176268
13	41482295	41495910	SUGT1P3	ENSG00000239827
13	41566915	41567467	RGS17P1	ENSG00000229473
13	41675155	41675236	MIR3168	ENSG00000264226
13	41696012	41696305	RN7SL597P	ENSG00000244264
13	41744836	41745284	CALM2P3	ENSG00000215482
13	41773968	41774943	MORF4L1P4	ENSG00000225133
13	41861877	41862456	RAC1P3	ENSG00000231404
13	41928693	41928795	RNU6-57P	ENSG00000223280
13	41958909	41959319	TUBBP2	ENSG00000214222
13	42005425	42006446	OR7E36P	ENSG00000205240
13	42013952	42015035	OR7E155P	ENSG00000234655
18	22265736	22266315	RAC1P1	ENSG00000266520
13	42016906	42017786	OR7E37P	ENSG00000215480
13	42142422	42142531	MIR5006	ENSG00000264190
13	42381813	42382108	RN7SL515P	ENSG00000241406
13	42479254	42479360	RNU6-74P	ENSG00000206962
13	42499734	42501485	KARSP1	ENSG00000229696
18	22596398	22597168	WBP2P1	ENSG00000229248
13	42577566	42577773	RPS28P8	ENSG00000226093
13	42643068	42645229	MAPK6PS3	ENSG00000237263
18	23398200	23398496	RN7SL97P	ENSG00000242216
13	42755601	42756057	CHCHD2P11	ENSG00000270809
13	42830009	42830711	FHP1	ENSG00000234213
18	23678803	23679190	RPS24P18	ENSG00000243925
HG185_PATCH	40086887	40121903	TTC25	ENSG00000260703
13	42943374	42943793	FABP3P2	ENSG00000233259
18	23749724	23751313	DHFRP1	ENSG00000188985
13	43384502	43386698	LINC01050	ENSG00000271216
13	43416550	43417023	LINC00428	ENSG00000229546
18	23784833	23785868	NPM1P2	ENSG00000266227
13	43507994	43509028	ZDHHC4P1	ENSG00000238025
18	23835662	23836319	FAM60BP	ENSG00000263829
13	43732767	43733602	LINC00400	ENSG00000229928
13	43968661	43968961	RPL36P19	ENSG00000232540
13	44032601	44033259	ENOX1-AS2	ENSG00000238189
13	44118054	44122192	ENOX1-AS1	ENSG00000233821
18	23946265	23946370	RNU6-1289P	ENSG00000207160
21	14982498	15013906	POTED	ENSG00000166351
13	44482850	44604597	LINC00284	ENSG00000233725
18	24179372	24180302	CIAPIN1P	ENSG00000263846
HG185_PATCH	40122993	40131428	CNP	ENSG00000260283
18	24235706	24770662	AQP4-AS1	ENSG00000260372
13	44542560	44545335	DGKZP1	ENSG00000179611
18	13217497	13652754	LDLRAD4	ENSG00000168675
13	44680514	44711372	LINC00390	ENSG00000226519
13	44716682	44813010	SMIM2-AS1	ENSG00000227258
13	44720606	44732358	SMIM2-IT1	ENSG00000235285
13	44974386	44980120	LINC01071	ENSG00000237361
HG185_PATCH	40132691	40173905	DNAJC7	ENSG00000262684
13	45168994	45170218	SMARCE1P5	ENSG00000230793
21	15481134	15583166	LIPI	ENSG00000188992
13	45225948	45275152	LINC00407	ENSG00000237585
13	45373639	45383766	LINC00330	ENSG00000235097
13	45576285	45576580	RN7SL49P	ENSG00000265802
13	45634864	45635221	RN7SKP3	ENSG00000223341
13	45711997	45712100	RNU6-69P	ENSG00000252055
13	45911615	45911744	SNORA31	ENSG00000199477
21	15588451	15600693	RBM11	ENSG00000185272
15	22368478	22369561	OR4M2	ENSG00000182974
HG185_PATCH	40173272	40181893	NKIRAS2	ENSG00000260770
15	22382382	22383507	OR4N4	ENSG00000183706
13	45915480	45965872	TPT1-AS1	ENSG00000170919
15	22448382	22448819	IGHV1OR15-1	ENSG00000270505
15	22472918	22473353	IGHV4OR15-8	ENSG00000259261
21	15743436	15755805	HSPA13	ENSG00000155304
HG185_PATCH	40181828	40219330	ZNF385C	ENSG00000260320
13	45964486	45965402	RCN1P2	ENSG00000214455
13	45992297	45994506	SLC25A30-AS1	ENSG00000251015
13	46010256	46010795	PPIAP25	ENSG00000229303
13	46125620	46125738	RNA5SP27	ENSG00000200709
15	22736246	22746002	GOLGA6L1	ENSG00000197414
13	46126998	46127271	TIMM9P3	ENSG00000232786
13	46245980	46246526	COX4I1P2	ENSG00000228869
13	46255225	46256554	LINC01055	ENSG00000235366
13	46261683	46262604	AKR1B1P4	ENSG00000237876
HG185_PATCH	40257656	40268985	DHX58	ENSG00000260178
13	46626941	46687467	CPB2-AS1	ENSG00000235903
21	26574521	26574629	RNA5SP489	ENSG00000238627
13	46743594	46743883	RN7SL288P	ENSG00000240767
13	46824077	46824348	RN7SKP5	ENSG00000252854
13	46844212	46844752	FAM206BP	ENSG00000251106
13	46870580	46871979	LINC00563	ENSG00000261097
13	46948536	46948725	RNU2-6P	ENSG00000223336
13	46984589	46984692	RNU6-68P	ENSG00000252385
15	49398268	49447858	COPS2	ENSG00000166200
21	15857549	15955723	SAMSN1	ENSG00000155307
13	46917102	47012325	PPP1R2P4	ENSG00000241353
HG185_PATCH	40269360	40277610	KAT2A	ENSG00000259958
13	47034744	47035256	OR7E101P	ENSG00000227019
13	47064997	47065397	COX17P1	ENSG00000205105
HG185_PATCH	40277683	40279604	HSPB9	ENSG00000260325
13	47079253	47079571	FKBP1AP3	ENSG00000230243
13	47426278	47430434	HTR2A-AS1	ENSG00000224517
13	47881217	47881436	GNG5P5	ENSG00000234590
13	48033078	48033369	RN7SL700P	ENSG00000244521
13	48337595	48338741	NAP1L4P3	ENSG00000234145
13	48340775	48341220	RPL27AP8	ENSG00000229423
HG185_PATCH	40281228	40311269	RAB5C	ENSG00000261378
15	22833395	22873892	TUBGCP5	ENSG00000153575
13	48479464	48481492	LINC00444	ENSG00000234689
13	48504290	48506757	LINC00562	ENSG00000260388
13	48575525	48576688	SUCLA2-AS1	ENSG00000227848
13	48651273	48654127	MED4-AS1	ENSG00000229111
13	48708494	48708670	POLR2KP2	ENSG00000224510
13	48870649	48877797	LINC00441	ENSG00000231473
13	48890999	48894611	PPP1R26P1	ENSG00000238086
13	48902220	48902700	PCNPP5	ENSG00000177197
13	49144775	49147453	LINC01077	ENSG00000233456
21	16333556	16437321	NRIP1	ENSG00000180530
13	49151110	49152224	LINC00462	ENSG00000233610
13	49345264	49345965	PSME2P2	ENSG00000225131
18	24935370	24935728	UBA52P9	ENSG00000244329
13	49562051	49562153	RNU6-60P	ENSG00000201662
13	49618215	49620930	RAD17P2	ENSG00000223724
18	24998848	25000399	RBM22P1	ENSG00000265097
13	49669527	49669628	RNY3P2	ENSG00000199788
13	49761615	49761806	COX7CP1	ENSG00000235957
18	25032478	25033621	PA2G4P3	ENSG00000263405
13	49784558	49786430	OGFOD1P1	ENSG00000231665
13	50063106	50063500	SNRPGP14	ENSG00000236577
15	41028082	41048049	RMDN3	ENSG00000137824
18	26231696	26233172	ARIH2P1	ENSG00000266296
HG183_PATCH	62399863	62491136	PECAM1	ENSG00000261371
13	50463770	50463864	RNY4P30	ENSG00000222148
13	50464727	50467134	CTAGE10P	ENSG00000181358
18	26628584	26628683	RNU6-408P	ENSG00000251719
13	50482770	50482866	RNY4P9	ENSG00000200064
13	50570551	50570637	MIR3613	ENSG00000264864
18	28564072	28564181	RNU6-857P	ENSG00000251702
13	50601269	50699856	DLEU2	ENSG00000231607
21	26734135	26734745	RPL13AP7	ENSG00000213885
21	26758133	26804013	LINC00158	ENSG00000185433
13	50623109	50623197	MIR16-1	ENSG00000208006
18	28925325	28925430	RNU6-167P	ENSG00000207019
13	50673467	50674004	RPL18P10	ENSG00000214359
21	26934221	26947480	MIR155HG	ENSG00000234883
13	50746225	50747317	ST13P4	ENSG00000232150
21	26955082	26955638	LINC00515	ENSG00000260583
21	27015801	27016528	RNGTTP1	ENSG00000237731
13	50935546	50935899	RPL34P26	ENSG00000223676
21	27064492	27064866	FDX1P2	ENSG00000227054
HG183_PATCH	62526397	62546003	MILR1	ENSG00000263304
18	29249252	29249341	RNU6-1002P	ENSG00000252379
18	29298856	29299171	RN7SKP44	ENSG00000200472
15	41056218	41059906	GCHFR	ENSG00000137880
18	29304161	29306919	LRRC37A7P	ENSG00000265158
13	51381992	51423190	DLEU7-AS1	ENSG00000237152
21	27315359	27315460	RNU6-123P	ENSG00000251972
13	51387124	51387242	RNA5SP28	ENSG00000200711
18	29517496	29517602	RNU6-1050P	ENSG00000222320
13	51450822	51484848	RNASEH2B-AS1	ENSG00000233672
21	27563026	27563132	RNU6-926P	ENSG00000206802
18	29542141	29543581	PGDP1	ENSG00000265273
HG183_PATCH	62555145	62574426	POLG2	ENSG00000262917
18	29756013	29756131	RNA5SP453	ENSG00000199373
18	29991471	29993167	HNRNPA1P7	ENSG00000215492
18	30091626	30094597	WBP11P1	ENSG00000260389
15	41060067	41099675	DNAJC17	ENSG00000104129
18	13663346	13726662	FAM210A	ENSG00000177150
13	51568647	51654998	GUCY1B2	ENSG00000123201
21	17102344	17252377	USP25	ENSG00000155313
21	28326280	28326362	MIR4759	ENSG00000266133
21	28515663	28516268	GPX1P2	ENSG00000215326
13	51601883	51601988	RNA5SP29	ENSG00000222920
13	51656984	51746524	LINC00371	ENSG00000226792
13	51735859	51736493	RPL5P31	ENSG00000214878
13	51770017	51770217	SLMO2P2	ENSG00000271242
HG183_PATCH	62576980	62585072	DDX5	ENSG00000263077
13	51922703	51922775	MIR5693	ENSG00000266072
